"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3273","with StorageState","chromium","Mon Jul 29 00:54:50 IST 2024","passed","Mon Jul 29 00:54:53 IST 2024","Api Testing","ApiTesting.spec.ts","",""
"","15033","Name Of The Account Holder Already Exist","chromium","Mon Jul 29 00:55:21 IST 2024","passed","Mon Jul 29 00:55:36 IST 2024","Account Creation for Person","TC02_UserAccountCreation.spec.ts","",""
"","1","Create D&O Policy","chromium","Mon Jul 29 00:55:04 IST 2024","skipped","Mon Jul 29 00:55:04 IST 2024","Create Policy","CreatePolicy.spec.ts","",""
"","6924","Successful login","chromium","Mon Jul 29 00:55:04 IST 2024","passed","Mon Jul 29 00:55:11 IST 2024","","TC01.spec.ts","",""
"","40178","Account Creation with full data","chromium","Mon Jul 29 00:54:54 IST 2024","failed","Mon Jul 29 00:55:34 IST 2024","Account Creation for Company","CompanyAccountCreation.spec.ts","",""
"","20873","Mandate Field Filled Check","chromium","Mon Jul 29 00:55:16 IST 2024","passed","Mon Jul 29 00:55:37 IST 2024","Account Creation for Person","TC02_UserAccountCreation.spec.ts","",""
"","5489","Failed login","chromium","Mon Jul 29 00:55:05 IST 2024","passed","Mon Jul 29 00:55:10 IST 2024","","TC01.spec.ts","",""
"","7202","Test to Enter Both Person and Company Details","chromium","Mon Jul 29 00:55:38 IST 2024","passed","Mon Jul 29 00:55:45 IST 2024","Account Creation for Person","TC02_UserAccountCreation.spec.ts","",""
"","2568","Api Login","chromium","Mon Jul 29 00:54:50 IST 2024","passed","Mon Jul 29 00:54:52 IST 2024","Api Testing","ApiTesting.spec.ts","",""
"","3199","without StorageState","chromium","Mon Jul 29 00:54:49 IST 2024","passed","Mon Jul 29 00:54:53 IST 2024","Api Testing","ApiTesting.spec.ts","",""
"","34202","Account Creation with full data","chromium","Mon Jul 29 00:55:11 IST 2024","failed","Mon Jul 29 00:55:45 IST 2024","Account Creation for Person","TC02_UserAccountCreation.spec.ts","",""
